city,2019,2020,2023,2020_change_rate,2023_change_rate,change,name
362,0.99625372,0.16108556,0.270415363,-83.83086991,67.87064154,d-u,图木舒克市
361,0.972587258,0.888469583,0.641211441,-8.648856368,-27.82966876,d-d,克孜勒苏柯尔克孜自治州
247,0.895011288,0,0.779859272,-100,100,d-u,乐东黎族自治县
248,0.882832628,0.314134872,0.728278378,-64.41739215,131.8362089,d-u,陵水黎族自治县
356,0.844648389,0.987640656,0.83758359,16.92920615,-15.19348815,u-d,那曲市
327,0.84423314,0.000716153,0.161030418,-99.91517118,22385.47699,d-u,海南藏族自治州
36,0.769948103,0.181113394,0.768064972,-76.47719459,324.0796084,d-u,阿拉善盟
145,0.718563417,0.718254824,0.539655778,-0.042945827,-24.86569391,s-d,临沂市
270,0.704309954,0.209187645,0.302045425,-70.29892254,44.38970571,d-u,阿坝藏族羌族自治州
317,0.690968802,0.617120418,0.649206388,-10.68765823,5.199304555,d-u,平凉市
272,0.68842541,0.507891957,0.23840391,-26.22411236,-53.06011314,d-d,凉山彝族自治州
215,0.674765215,0.603665769,0.564963077,-10.53691631,-6.411278225,d-d,中山市
219,0.674241084,0.710367928,0.541491955,5.358149311,-23.77302893,u-d,南宁市
87,0.674225403,0.602508798,0.530384955,-10.6368886,-11.97058752,d-d,杭州市
321,0.672053428,0.477380552,0.592394673,-28.96687494,24.09275378,d-u,陇南市
158,0.671282165,0.411531366,0.505407731,-38.69472668,22.81147265,d-u,濮阳市
86,0.662890217,0.594973513,0.547037933,-10.24554327,-8.056758654,d-d,宿迁市
37,0.660441579,0.676984264,0.620164273,2.504791571,-8.393103654,s-d,沈阳市
121,0.657437299,0.541256062,0.575946753,-17.67183535,6.409293759,d-u,龙岩市
343,0.65733448,0.142987267,0.170150991,-78.24741112,18.99730275,d-u,和田地区
88,0.654739119,0.650313694,0.591159765,-0.675906613,-9.096214572,s-d,宁波市
4,0.653676769,0.618483188,0.545345348,-5.383942442,-11.8253562,d-d,唐山市
85,0.653544006,0.698593265,0.643795618,6.893072018,-7.843998754,u-d,泰州市
194,0.653310223,0.585479286,0.412105409,-10.38265354,-29.61229904,d-d,永州市
74,0.651732317,0.635554216,0.617625392,-2.482322969,-2.820974757,s-s,南京市
264,0.649303547,0.538087011,0.50968106,-17.12858901,-5.279062757,d-d,宜宾市
89,0.648978659,0.641406843,0.554610114,-1.166728042,-13.53224244,s-d,温州市
279,0.647481806,0.584877174,0.271832906,-9.668940721,-53.52307833,d-d,黔西南布依族苗族自治州
82,0.64616524,0.536924253,0.58525774,-16.90604512,9.001919122,d-u,盐城市
255,0.645655569,0.42898491,0.640011374,-33.5582421,49.19204827,d-u,泸州市
176,0.636130412,0.501489006,0.491504505,-21.16569236,-1.990971064,d-s,荆州市
130,0.63352751,0.437588464,0.332390472,-30.92826166,-24.04039426,d-d,吉安市
116,0.632620134,0.617376422,0.607781123,-2.409615373,-1.554205612,s-s,莆田市
133,0.630194398,0.541360192,0.512835482,-14.09631794,-5.269081551,d-d,上饶市
307,0.62569751,0.696377004,0.565080852,11.2961124,-18.85417687,u-d,榆林市
