node_id,layer_id,module_id
300,1,1
234,1,1
298,1,1
251,1,1
1,1,1
221,1,1
252,1,1
136,1,1
87,1,1
135,1,1
115,1,1
73,1,1
74,1,1
106,1,1
168,1,1
184,1,1
78,1,1
198,1,1
219,1,1
38,1,1
2,1,1
180,1,1
200,1,1
114,1,1
370,1,1
152,1,1
150,1,1
369,1,1
287,1,1
143,1,1
201,1,1
134,1,1
273,1,1
15,1,1
310,1,1
371,1,1
83,1,1
80,1,1
98,1,1
88,1,1
75,1,1
123,1,1
282,1,1
223,1,1
76,1,1
14,1,1
37,1,1
302,1,1
329,1,1
139,1,1
293,1,1
233,1,1
306,1,1
299,1,1
171,1,1
92,1,1
118,1,1
144,1,1
294,1,1
25,1,1
205,1,1
3,1,1
324,1,1
60,1,1
5,1,1
151,1,1
89,1,1
311,1,1
220,1,1
77,1,1
172,1,1
84,1,1
91,1,1
51,1,1
154,1,1
203,1,1
208,1,1
140,1,1
258,1,1
96,1,1
138,1,1
305,1,1
323,1,1
314,1,1
90,1,1
145,1,1
124,1,1
81,1,1
9,1,1
191,1,1
95,1,1
4,1,1
193,1,1
308,1,1
6,1,1
194,1,1
42,1,1
162,1,1
97,1,1
176,1,1
126,1,1
129,1,1
202,1,1
164,1,1
100,1,1
94,1,1
275,1,1
43,1,1
82,1,1
303,1,1
264,1,1
93,1,1
8,1,1
334,1,1
119,1,1
257,1,1
79,1,1
99,1,1
52,1,1
189,1,1
86,1,1
262,1,1
213,1,1
321,1,1
141,1,1
216,1,1
159,1,1
85,1,1
353,1,1
238,1,1
261,1,1
142,1,1
224,1,1
137,1,1
199,1,1
21,1,1
113,1,1
170,1,1
204,1,1
156,1,1
147,1,1
116,1,1
133,1,1
105,1,1
190,1,1
10,1,1
253,1,1
149,1,1
255,1,1
259,1,1
215,1,1
122,1,1
268,1,1
146,1,1
228,1,1
307,1,1
309,1,1
214,1,1
50,1,1
18,1,1
102,1,1
212,1,1
217,1,1
30,1,1
209,1,1
316,1,1
266,1,1
267,1,1
342,1,1
161,1,1
207,1,1
206,1,1
148,1,1
343,1,1
17,1,1
186,1,1
225,1,1
121,1,1
41,1,1
260,1,1
232,1,1
107,1,1
163,1,1
117,1,1
304,1,1
355,1,1
11,1,1
229,1,1
166,1,1
26,1,1
111,1,1
356,1,1
23,1,1
239,1,1
263,1,1
179,1,1
7,1,1
131,1,1
28,1,1
187,1,1
237,1,1
155,1,1
49,1,1
47,1,1
22,1,1
227,1,1
222,1,1
333,1,1
103,1,1
158,1,1
157,1,1
12,1,1
276,1,1
278,1,1
274,1,1
288,1,1
101,1,1
301,1,1
211,1,1
332,1,1
218,1,1
108,1,1
210,1,1
120,1,1
110,1,1
226,1,1
254,1,1
169,1,1
318,1,1
351,1,1
192,1,1
13,1,1
283,1,1
69,1,1
265,1,1
277,1,1
271,1,1
59,1,1
181,1,1
112,1,1
174,1,1
317,1,1
256,1,1
195,1,1
39,1,1
48,1,1
44,1,1
165,1,1
286,1,1
72,1,1
45,1,1
270,1,1
185,1,1
231,1,1
341,1,1
109,1,1
319,1,1
61,1,1
53,1,1
315,1,1
46,1,1
269,1,1
29,1,1
197,1,1
104,1,1
20,1,1
337,1,1
178,1,1
130,1,1
285,1,1
24,1,1
40,1,1
177,1,1
320,1,1
322,1,1
280,1,1
344,1,1
167,1,1
230,1,1
132,1,1
31,1,1
33,1,1
196,1,1
55,1,1
128,1,1
188,1,1
182,1,1
284,1,1
68,1,1
57,1,1
125,1,1
336,1,1
27,1,1
153,1,1
67,1,1
354,1,1
66,1,1
360,1,1
16,1,1
70,1,1
65,1,1
160,1,1
338,1,1
19,1,1
345,1,1
183,1,1
175,1,1
330,1,1
313,1,1
357,1,1
290,1,1
173,1,1
331,1,1
335,1,1
63,1,1
289,1,1
36,1,1
348,1,1
346,1,1
58,1,1
54,1,1
292,1,1
295,1,1
240,1,1
56,1,1
32,1,1
291,1,1
312,1,1
347,1,1
127,1,1
272,1,1
296,1,1
235,1,1
71,1,1
62,1,1
281,1,1
279,1,1
297,1,1
64,1,1
349,1,1
359,1,1
339,1,1
325,1,1
328,1,1
327,1,1
244,1,1
35,1,1
248,1,1
358,1,1
340,1,1
34,1,1
361,1,1
362,1,1
243,1,1
242,1,1
247,1,1
73,2,1
87,2,1
78,2,1
74,2,1
98,2,1
75,2,1
76,2,1
88,2,1
93,2,1
90,2,1
77,2,1
92,2,1
83,2,1
79,2,1
91,2,1
80,2,1
82,2,1
81,2,1
109,2,1
108,2,1
89,2,1
110,2,1
107,2,1
85,2,1
99,2,1
84,2,1
86,2,1
96,2,1
105,2,1
113,2,1
111,2,1
100,2,1
101,2,1
106,2,1
102,2,1
94,2,1
103,2,1
112,2,1
97,2,1
95,2,1
104,2,1
1,2,1
134,2,1
135,2,1
2,2,1
145,2,1
8,2,1
3,2,1
14,2,1
140,2,1
136,2,1
141,2,1
142,2,1
139,2,1
144,2,1
6,2,1
149,2,1
12,2,1
146,2,1
11,2,1
7,2,1
20,2,1
4,2,1
147,2,1
5,2,1
137,2,1
143,2,1
13,2,1
148,2,1
15,2,1
22,2,1
23,2,1
21,2,1
9,2,1
17,2,1
24,2,1
10,2,1
138,2,1
18,2,1
19,2,1
16,2,1
198,2,1
200,2,1
214,2,1
203,2,1
219,2,1
208,2,1
215,2,1
221,2,1
213,2,1
205,2,1
220,2,1
201,2,1
204,2,1
207,2,1
227,2,1
206,2,1
202,2,1
223,2,1
226,2,1
211,2,1
217,2,1
209,2,1
225,2,1
199,2,1
212,2,1
224,2,1
216,2,1
228,2,1
222,2,1
230,2,1
218,2,1
231,2,1
232,2,1
210,2,1
229,2,1
168,2,1
184,2,1
123,2,1
176,2,1
177,2,1
133,2,1
189,2,1
172,2,1
126,2,1
129,2,1
187,2,1
171,2,1
175,2,1
131,2,1
185,2,1
190,2,1
192,2,1
186,2,1
180,2,1
193,2,1
188,2,1
130,2,1
194,2,1
196,2,1
174,2,1
170,2,1
197,2,1
169,2,1
178,2,1
124,2,1
132,2,1
195,2,1
179,2,1
181,2,1
191,2,1
173,2,1
125,2,1
182,2,1
183,2,1
128,2,1
127,2,1
351,2,1
150,2,1
152,2,1
151,2,1
165,2,1
156,2,1
162,2,1
163,2,1
154,2,1
166,2,1
164,2,1
159,2,1
153,2,1
157,2,1
158,2,1
160,2,1
161,2,1
155,2,1
167,2,1
115,2,1
114,2,1
118,2,1
119,2,1
121,2,1
122,2,1
116,2,1
117,2,1
120,2,1
369,2,1
252,2,2
251,2,2
273,2,2
275,2,2
257,2,2
262,2,2
261,2,2
263,2,2
256,2,2
277,2,2
264,2,2
260,2,2
265,2,2
281,2,2
255,2,2
269,2,2
253,2,2
259,2,2
266,2,2
280,2,2
258,2,2
267,2,2
278,2,2
276,2,2
274,2,2
268,2,2
286,2,2
270,2,2
272,2,2
279,2,2
271,2,2
254,2,2
300,2,3
303,2,3
310,2,3
304,2,3
302,2,3
329,2,3
306,2,3
324,2,3
25,2,3
307,2,3
30,2,3
309,2,3
305,2,3
314,2,3
308,2,3
320,2,3
331,2,3
322,2,3
26,2,3
321,2,3
333,2,3
325,2,3
33,2,3
317,2,3
318,2,3
313,2,3
315,2,3
319,2,3
316,2,3
332,2,3
330,2,3
311,2,3
301,2,3
32,2,3
323,2,3
27,2,3
36,2,3
328,2,3
327,2,3
35,2,3
312,2,3
360,2,3
326,2,3
358,2,3
359,2,3
37,2,4
51,2,4
60,2,4
38,2,4
43,2,4
50,2,4
39,2,4
42,2,4
44,2,4
52,2,4
53,2,4
41,2,4
48,2,4
49,2,4
47,2,4
40,2,4
55,2,4
28,2,4
71,2,4
46,2,4
61,2,4
65,2,4
57,2,4
29,2,4
59,2,4
45,2,4
67,2,4
69,2,4
58,2,4
54,2,4
56,2,4
31,2,4
34,2,4
70,2,4
